VIN (1-10);County;City;State;Postal Code;Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract;Descuentos;Precio Final
WBY7Z8C55J;Thurston;Tumwater;WA;98512;2018;BMW;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;97;59900;22;190643316;POINT (-122.9131017 47.0135926);PUGET SOUND ENERGY INC;53067011000;11316;48584
1G1RA6E48D;Snohomish;Edmonds;WA;98026;2013;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;52900;21;213526673;POINT (-122.335685 47.80372);PUGET SOUND ENERGY INC;53061050102;12917;39983
JA4T5VA98P;Yakima;Yakima;WA;98908;2023;MITSUBISHI;OUTLANDER;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;36800;14;249745730;POINT (-120.6027202 46.5965625);PACIFICORP;53077000904;10206;26594
WBY1Z4C54G;Snohomish;Lake Stevens;WA;98258;2016;BMW;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;72;31950;44;139826151;POINT (-122.112265 48.0047);PUGET SOUND ENERGY INC;53061052604;3025;28925
5YJ3E1EA7K;Yakima;Tieton;WA;98947;2019;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220;36800;14;476682475;POINT (-120.75692 46.70383);PACIFICORP;53077002900;12250;24550
1G1RE6E47E;Snohomish;Bothell;WA;98021;2014;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;69900;1;232778409;POINT (-122.179458 47.802589);PUGET SOUND ENERGY INC;53061051918;25059;44841
JHMZC5F30J;Snohomish;Everett;WA;98204;2018;HONDA;CLARITY;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;47;59900;21;132616291;POINT (-122.240535 47.91139);PUGET SOUND ENERGY INC;53061041812;5125;54775
1N4AZ1CP9L;Thurston;Lacey;WA;98503;2020;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;149;31950;22;229380322;POINT (-122.8285 47.03646);PUGET SOUND ENERGY INC;53067011200;10530;21420
WA1E2AFY0M;Thurston;Olympia;WA;98502;2021;AUDI;Q5 E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18;69900;35;141822551;POINT (-122.92145 47.045935);PUGET SOUND ENERGY INC;53067011902;14807;55093
1C4JJXR64N;Yakima;Naches;WA;98937;2022;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22;69900;14;209500252;POINT (-120.69918 46.7305);PACIFICORP;53077003004;19238;50662
